square,price
48.37,8400000
48.6,15600000
48.7,9400000
48.8,7650000
49,6500000
49.1,10950000
49.3,8990000
49.5,15000000
49.7,9770000
49.8,14990000
49.9,15800000
50,11900000
50.5,9450000
50.6,10600000
50.7,16000000
50.8,16500000
50.81,10629000
51,8700000
51.1,7180000
51.14,10188000
51.4,9460000
51.42,9496000
51.66,10262000
52,12999000
52.6,7700000
52.8,18130000
53,15400000
53.3,18000000
53.4,8750000
53.5,9000000
53.6,14750000
53.7,8000000
54,14000000
54.1,28000000
54.5,17950000
54.51,10547000
54.6,8900000
54.9,10180000
55,12490000
55.3,14500000
55.6,12800000
55.66,10502000
55.7,10200000
55.8,13300000
55.9,14850000
56,12500000
56.02,10509000
56.2,8200000
56.3,16000000
56.4,17800000
56.6,13500000
56.9,10600000
57,8799000
57.1,12990000
57.2,11340000
57.52,10359000
57.6,10610000
57.7,11600000
58,14450000
58.39,13100000
58.44,11153000
58.48,10920000
58.57,10453000
58.7,10210000
58.84,10261000
59,12900000
59.1,13299000
59.3,12999000
59.43,10562000
59.6,18275000
59.7,14300000
59.71,18400000
60,13500000
60.3,13880000
60.4,13650000
60.9,10950000
61,14100000
61.3,15000000
62,20000000
62.2,11940000
62.24,10562000
62.25,11054000
62.3,10610000
62.5,11025000
62.6,10960000
62.8,17217000
63,11200000
63.15,12637000
63.2,18500000
63.6,13500000
63.88,11911000
64,14850000
64.1,12599000
64.2,12000000
64.4,11230000
64.5,25000000
64.7,13600000
65,11200000
65.2,10500000
65.3,14990000
65.5,15500000
65.6,11600000
65.7,8990000
65.8,11110000
66,15900000
66.21,24990000
66.3,17400000
66.4,11500000
67,20000000
67.3,10599000
67.6,17900000
68,25000000
68.27,15150000
68.3,13600000
68.4,21500000
68.7,16300000
68.85,10757000
68.9,11180000
69,15800000
69.1,13300000
70,20900000
70.4,18210000
70.41,11929000
70.5,12380000
71,16990000
71.2,11910000
71.8,18000000
72,12450000
72.4,14500000
73,13900000
73.3,8200000
73.5,24000000
73.8,15000000
74.4,16990000
74.5,22880000
75.3,24700000
76,15900000
76.3,14960000
76.5,18300000
76.8,25500000
77,14750000
78,14800000
78.3,38400000
79.1,14500000
80.2,15200000
80.4,20990000
81,21000000
81.2,27210000
82.1,13800000
83.4,13345000
83.6,14500000
83.9,15940000
84,33350000
85.5,14940000
85.8,25900000
85.9,16300000
86,24500000
87.3,23500000
87.7,15000000
88,15990000
88.3,21500000
89.3,20000000
89.5,12550000
90,21000000
91.5,21500000
92,26500000
92.6,16200000
93,20300000
93.7,22950000
94.5,11585000
95.3,25600000
99.13,28480000
100,23900000
100.3,20199000
100.5,24900000
101.2,49500000
105,20000000
105.7,31950000
105.8,15990000
106,30300000
106.6,18150000
107,24000000
108,23200000
109,41999000
109.5,46150000
109.6,33997000
111.8,19700000
113,17650000
114,25500000
115.7,17700000
117,38000000
119,31490000
125.42,25500000
126.5,18300000
129.2,33700000
140,38930000
140.5,37580000
141.5,36710000
142,36840000
142.1,16000000
144.3,38600000
145.4,37670000
146.4,35750000
149.5,40470000
150.1,38490000
150.2,37750000
154.8,40000000
155.5,39880000
155.6,42500000
156,38000000
156.5,39330000
158.1,41950000
159.1,40800000
160.6,51400000
163.4,41990000
164,39500000
165,38500000
237,63000000
